球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
克莱因迪恩斯特,门兴,29,中锋,28,2475,15,5,3,1,62.6,9,4.5,7.25
赖恩德斯,AC米兰,26,中场,"31
(1)",2682,10,3,2,1,89.1,6,0.2,7.25
刘易斯·霍尔,纽卡斯尔,20,左后卫,"24
(3)",2192,0,4,3,0,85.5,4,1,7.25
尼科·帕兹,科莫,20,前腰,"25
(5)",2254,6,6,5,0,83.7,6,0.8,7.25
范迪克,利物浦,33,中后卫,33,2970,2,1,3,0,91.7,2,3,7.25
法比安·鲁伊斯,巴黎圣日耳曼,29,中场,"19
(8)",1756,3,4,0,0,91.6,8,0.1,7.25
杰里米·多库,曼城,22,左边锋,"14
(11)",1304,3,5,1,0,84.1,6,0,7.25
盖坦·佩林,欧塞尔,28,右边锋,"27
(3)",2354,8,8,1,0,78.2,13,0.1,7.25
加布里埃尔,阿森纳,27,中后卫,28,2366,3,1,4,0,90.7,2,2,7.25
迪马尔科,国际米兰,27,左后卫,"26
(2)",1851,4,7,3,0,84.2,12,0.2,7.25
卡斯特拉诺斯,拉齐奥,26,中锋,"23
(1)",1945,10,3,6,1,69.8,4,2.5,7.25
大卫·劳姆,莱比锡红牛,27,左后卫,"19
(1)",1608,1,4,3,0,79,6,0.6,7.25
普利西奇,AC米兰,26,右边锋,"24
(5)",2059,9,8,1,0,82.9,8,0.3,7.24
迪恩·豪森,伯恩茅斯,20,中后卫,"22
(5)",2049,2,1,7,0,85.1,3,2.2,7.24
亚历克斯·巴埃纳,比利亚雷亚尔,23,左边锋,"27
(1)",2350,6,7,8,0,74.1,16,0.5,7.24
吉拉西,多特蒙德,29,中锋,"25
(1)",2255,16,1,4,0,73.3,6,3.8,7.24
拉赫马尼,那不勒斯,31,中后卫,33,2957,1,2,2,0,91.4,1,3.3,7.24
纳撒尼尔·布朗,法兰克福,21,左后卫,"18
(4)",1597,3,5,1,0,86.4,9,0.3,7.24
佩德罗·波罗,热刺,25,右后卫,"26
(5)",2461,2,6,4,0,77.5,7,0.4,7.24
塞尔吉奥·埃雷拉,奥萨苏纳,31,门将,31,2790,0,0,5,0,66,0,0.2,7.24
凯文·丹索,朗斯,26,中后卫,12,1080,0,0,3,0,86.1,1,3.4,7.23
拉斐尔·格雷罗,拜仁慕尼黑,31,左后卫,"17
(4)",1432,4,3,2,0,90.4,7,0.3,7.23
多诺万·莱昂,欧塞尔,32,门将,28,2520,0,2,3,0,51.1,2,0.3,7.23
摩根·怀特,诺丁汉森林,25,前腰,29,2396,5,7,7,1,80.9,8,1.3,7.23
格里兹曼,马德里竞技,34,中锋,"27
(5)",2261,8,5,2,0,80.4,10,0.6,7.23
本杰明·安德烈,里尔,34,后腰,27,2423,0,3,10,0,83.7,5,3.2,7.22
拉博德,尼斯,30,中锋,"17
(7)",1541,9,4,1,0,73.4,7,1.7,7.22
巴斯托尼,国际米兰,26,中后卫,"29
(2)",2253,1,4,4,1,91,6,1.4,7.22
麦卡利斯特,利物浦,26,中场,"29
(3)",2481,4,4,6,0,87.2,5,0.6,7.22
古拉奇,莱比锡红牛,34,门将,28,2453,0,0,0,0,79.7,0,0.3,7.22
乔纳森·戴维,里尔,25,中锋,"24
(4)",2215,16,4,4,0,83.2,5,0.6,7.22
巴雷拉,国际米兰,28,中场,"27
(2)",2182,3,6,4,0,85.1,5,0.8,7.22
米利唐,皇家马德里,27,中后卫,"11
(1)",939,1,1,2,0,89.8,1,1.8,7.22
德赫亚,佛罗伦萨,34,门将,30,2700,0,1,1,0,70,1,0.2,7.22
萨勒马科尔斯,罗马,25,右边锋,"15
(4)",1221,6,3,4,0,85.5,4,0.4,7.22
艾曼纽尔·阿格巴杜,兰斯,27,中后卫,14,1260,0,0,3,0,88.2,1,1.3,7.21
布莱斯·桑巴,朗斯,30,门将,15,1350,0,0,1,0,78.9,0,0,7.21
劳塔罗·马丁内斯,国际米兰,27,中锋,30,2490,12,3,0,0,76.3,7,1.2,7.21
岑特纳,美因茨,30,门将,30,2700,0,0,3,0,59.4,1,0.3,7.21
內森·科林斯,布伦特福德,23,中后卫,33,2970,2,2,5,0,86.1,3,3.1,7.21
阿方索·戴维斯,拜仁慕尼黑,24,左后卫,"17
(2)",1562,1,2,0,0,91.1,1,0.4,7.21
阿诺尔德,沃尔夫斯堡,30,中场,"25
(1)",2242,3,5,7,0,84,6,0.5,7.21
若昂·佩德罗,布莱顿,23,中锋,"23
(4)",1954,10,6,4,1,74.6,12,1.5,7.21
皮耶罗·因卡皮耶,勒沃库森,23,中后卫,"25
(3)",2385,2,2,7,0,89.6,4,2.1,7.21
李在城,美因茨,32,前腰,"27
(2)",2347,7,5,4,0,80.1,7,1.5,7.21
贾斯汀·克鲁伊维特,伯恩茅斯,25,前腰,"25
(4)",2041,12,6,7,0,80.1,6,0.2,7.21
莫伊塞斯·凯塞多,切尔西,23,后腰,33,2906,1,2,10,0,90.5,4,0.9,7.21
达姆斯高,布伦特福德,24,前腰,"29
(4)",2510,2,9,2,0,78.1,10,0.3,7.21
弗洛里安·托万,乌迪内斯,32,右边锋,"24
(1)",1972,8,3,0,0,78.5,8,0.2,7.2
迪奥戈·雷特,柏林联盟,26,中后卫,"28
(1)",2483,1,2,3,0,79.4,2,2.6,7.2
洛卡特利,尤文图斯,27,后腰,"29
(2)",2396,1,2,7,0,89.1,1,1,7.2
凯南·伊尔迪兹,尤文图斯,19,左边锋,"25
(7)",2186,6,2,2,0,86.5,6,0.2,7.2
布鲁诺·吉马良斯,纽卡斯尔,27,后腰,33,2837,4,6,6,0,82.9,11,0.4,7.2
皮克福德,埃弗顿,31,门将,33,2970,0,1,7,0,62,1,0.2,7.2
布莱斯·桑巴,雷恩,30,门将,13,1170,0,0,3,0,74,0,0.4,7.2
特奥·埃尔南德斯,AC米兰,27,左后卫,"27
(3)",2428,4,3,4,1,88.2,7,1.1,7.2
亚历克斯·加西亚,勒沃库森,27,中场,"15
(9)",1288,3,3,2,0,91.3,9,0.1,7.2
维卡里奥,热刺,28,门将,21,1890,0,0,1,0,87.9,0,0.4,7.2
奥尔索利尼,博洛尼亚,28,右边锋,"19
(6)",1525,12,3,1,0,72.2,8,0.9,7.2
穆罕默德·阿莫拉,沃尔夫斯堡,24,中锋,"26
(1)",2228,10,8,5,0,74,5,0.7,7.2
阿斯帕斯,塞尔塔,37,中锋,"17
(9)",1579,9,3,3,1,76,6,0.2,7.2
诺阿·阿图博卢,弗赖堡,22,门将,24,2128,0,0,2,0,72.6,0,0.3,7.2
扎卡里亚,摩纳哥,28,后腰,"21
(1)",1874,5,3,5,0,91.3,2,0.6,7.2
帕雷德斯,罗马,30,后腰,"13
(7)",1204,1,1,4,0,91.4,3,0.4,7.2
阿切尔比,国际米兰,37,中后卫,18,1482,0,1,0,0,93,1,2.8,7.19
埃德森,亚特兰大,25,中场,"29
(3)",2582,4,1,3,1,87.7,7,1.3,7.19
卡普里勒,卡利亚里,23,门将,14,1260,0,0,0,0,64.1,0,0.3,7.19
布迪米尔,奥萨苏纳,33,中锋,"28
(4)",2472,18,3,3,0,55.4,2,3.8,7.19
拉斐尔·莱奥,AC米兰,25,左边锋,"24
(7)",2172,7,8,4,0,76.8,8,0.7,7.19
布尔卡,尼斯,25,门将,30,2700,0,0,0,0,77.8,0,0.3,7.19
麦克托米奈,那不勒斯,28,中场,"28
(1)",2491,9,2,3,0,85.3,2,1.9,7.19
施密德,云达不莱梅,25,前腰,28,2502,4,4,3,0,78.7,4,0.6,7.19
皮埃尔·里斯-梅洛,布雷斯特,31,后腰,"14
(3)",1267,2,2,4,0,85.4,3,0.2,7.19
布拉斯,雷恩,27,右边锋,"23
(2)",2006,6,7,6,0,81.7,7,0.5,7.19
斯维拉尔,罗马,25,门将,33,2970,0,0,1,0,77.5,0,0.1,7.19
麦克尼尔,埃弗顿,25,前腰,"13
(3)",1157,3,4,1,0,81.3,8,0.2,7.19
托马斯,阿森纳,31,后腰,"27
(4)",2439,4,2,4,0,89.3,3,0.9,7.19
阿格尔德,皇家社会,29,中后卫,20,1674,0,0,5,0,87.9,1,3.1,7.19
乔纳森·伯克特,美因茨,24,中锋,"24
(1)",1770,15,2,0,0,73.6,4,0.7,7.18
卡塞米罗,曼联,33,后腰,"15
(6)",1274,1,0,3,0,80.6,3,1.4,7.18
安德烈·拉杜,威尼斯,27,门将,10,900,0,0,1,0,49.4,0,0.2,7.18
拉姆斯代尔,南安普顿,26,门将,25,2250,0,0,2,0,61.6,0,0.2,7.18
乔安·加西亚,西班牙人,23,门将,33,2970,0,0,2,0,64.6,0,0.6,7.18
哈德森-奥多伊,诺丁汉森林,24,左边锋,"24
(4)",2120,5,2,2,0,88.5,3,0.1,7.18
布卡约·萨卡,阿森纳,23,右边锋,"17
(4)",1459,6,10,3,0,84.4,21,0.4,7.68
科尔·帕尔默,切尔西,22,前腰,"31
(1)",2750,14,8,6,0,83.4,15,0,7.66
瑞安·切尔基,里昂,21,前腰,"19
(7)",1756,8,9,3,0,84.9,19,0.1,7.63
佩德里,巴塞罗那,22,中场,"30
(2)",2544,4,4,2,0,88.6,12,0.2,7.59
哈维·西蒙斯,莱比锡红牛,22,前腰,21,1811,9,4,5,0,83.8,9,0.7,7.59
伊斯科,皇家贝蒂斯,33,前腰,"14
(2)",1209,7,5,5,0,86.8,6,0.8,7.58
姆巴佩,皇家马德里,26,中锋,29,2469,22,3,3,1,85.1,12,0.1,7.58
库尼亚,狼队,25,中锋,"25
(3)",2257,14,4,3,0,78.3,11,0.3,7.58
布鲁诺·费尔南德斯,曼联,30,前腰,"31
(1)",2673,8,9,2,2,80.5,15,0.6,7.58
穆夏拉,拜仁慕尼黑,22,前腰,"21
(4)",1806,12,2,3,0,83.6,8,0.3,7.57
孔德,巴塞罗那,26,右后卫,"29
(3)",2606,2,3,4,0,88.5,7,0.9,7.18
索博斯洛伊,利物浦,24,中场,"25
(6)",2193,5,3,6,0,85.9,10,0.6,7.18
路易斯·恩里克,马赛,23,左边锋,"27
(3)",2413,7,5,0,0,84.8,9,0,7.18
马文·杜克施,云达不莱梅,31,中锋,"26
(2)",2101,7,7,3,0,71.1,12,0.8,7.18
保罗·内贝尔,美因茨,22,前腰,"22
(5)",1992,8,3,3,1,78.4,5,0.5,7.17
埃贝雷·埃泽,水晶宫,26,前腰,"28
(2)",2352,4,8,1,0,82.7,9,0.2,7.17
卢卡斯·佩里,里昂,27,门将,29,2610,0,0,1,0,72.9,0,0.4,7.17
希赫姆·布达维,尼斯,25,中场,"23
(2)",2092,2,2,9,0,84.3,4,0.6,7.17
塞梅尼奥,伯恩茅斯,25,右边锋,32,2830,8,4,9,0,77.8,10,1.7,7.17
金斯利·科曼,拜仁慕尼黑,28,左边锋,"12
(12)",1110,5,4,0,0,89.7,6,0.3,7.17
古伊里,马赛,25,中锋,"8
(2)",722,4,3,0,0,88.2,6,0.2,7.54
米卡·比雷特,摩纳哥,22,中锋,13,1059,12,2,0,0,65.6,7,1.3,7.52
姆贝乌莫,布伦特福德,25,右边锋,33,2967,18,6,2,0,75.3,17,0.9,7.51
巴尔韦德,皇家马德里,26,中场,"29
(2)",2586,6,4,3,0,90.6,6,0.8,7.49
梅森·格林伍德,马赛,23,右边锋,"28
(2)",2466,18,3,2,0,83.6,8,0.2,7.49
贝林厄姆,皇家马德里,21,前腰,"25
(2)",2136,8,7,3,1,87.6,4,0.8,7.46
维蒂尼亚,巴黎圣日耳曼,25,中场,"18
(9)",1854,5,1,1,0,94.2,3,0,7.45
若昂·内维斯,巴黎圣日耳曼,20,后腰,"19
(7)",1667,3,8,0,0,92.1,8,0.7,7.45
弗莱肯,布伦特福德,31,门将,32,2826,0,1,1,0,71.8,1,0.1,7.44
乔尔杰·彼得罗维奇,斯特拉斯堡,25,门将,27,2430,0,0,2,0,78.5,0,0.2,7.44
扎卡,勒沃库森,32,后腰,30,2634,2,7,3,0,91.1,6,1.2,7.44
李刚仁,巴黎圣日耳曼,24,右边锋,"17
(11)",1531,6,6,1,0,92,11,0.1,7.44
恰尔汗奥卢,国际米兰,31,后腰,"23
(2)",1696,5,4,3,0,90.4,9,0.6,7.42
布拉西尔,雷恩,25,中后卫,10,876,1,0,0,0,86.7,1,2.5,7.42
德布劳内,曼城,33,前腰,"16
(8)",1457,3,7,2,0,82.4,14,0.2,7.41
乔纳森·克劳斯,尼斯,32,右后卫,"23
(1)",1956,3,7,7,0,78.5,12,0.6,7.41
芬恩·达门,奥格斯堡,27,门将,15,1350,0,0,0,0,66,0,0.3,7.41
安德烈·桑托斯,斯特拉斯堡,20,中场,28,2497,9,3,7,0,87.8,6,1.1,7.4
洛·塞尔索,皇家贝蒂斯,29,中场,"12
(8)",1172,7,2,4,0,83.4,7,0.3,7.4
安东尼,皇家贝蒂斯,25,右边锋,11,927,3,2,1,1,83.4,7,0.3,7.4
蒂莱曼斯,阿斯顿维拉,27,中场,34,2922,2,7,4,0,86.1,14,0.6,7.39
罗德里戈,皇家马德里,24,右边锋,"22
(8)",1937,6,5,0,0,90.9,5,0.2,7.39
阿马德·迪亚洛,曼联,22,右边锋,"17
(5)",1594,6,6,3,0,85.2,4,0.4,7.39
霍伊别尔,马赛,29,后腰,26,2306,2,3,5,0,92.5,3,0.8,7.38
扎卡尼,拉齐奥,29,左边锋,"29
(1)",2399,8,6,9,0,84.8,6,0.6,7.38
乌帕梅卡诺,拜仁慕尼黑,26,中后卫,20,1763,2,0,6,0,94.2,1,3.1,7.38
安杰洛·施蒂勒,斯图加特,24,后腰,"28
(1)",2547,1,8,5,0,89.7,13,0.7,7.38
奥尔默,巴塞罗那,26,前腰,"11
(9)",1000,9,2,0,0,82.3,7,0.5,7.38
米林科维奇·萨维奇,都灵,28,门将,32,2880,0,0,2,0,63.4,0,0.3,7.38
尼古拉斯,门兴,27,门将,19,1640,0,0,0,0,83.1,0,0.3,7.37
奥诺拉,门兴,28,右边锋,15,1196,2,5,0,0,74.7,9,0.3,7.37
马尔穆什,曼城,26,中锋,"11
(1)",922,6,0,0,0,83.8,4,0.4,7.37
维尼修斯,皇家马德里,24,左边锋,"22
(5)",2046,11,5,8,1,79.2,12,0,7.37
德西雷·杜尔,巴黎圣日耳曼,19,左边锋,"16
(11)",1537,6,6,1,0,85.7,17,0.2,7.36
迪乌夫,兰斯,25,门将,30,2700,0,0,1,0,65.6,0,0.3,7.36
巴夸,斯特拉斯堡,22,右边锋,"25
(1)",2181,4,8,4,0,80.6,12,0.4,7.35
伊萨克,纽卡斯尔,25,中锋,30,2428,21,6,1,0,75.4,11,0.8,7.35
托利索,里昂,30,中场,"25
(4)",2167,6,4,4,0,85.8,6,1.8,7.34
孙兴慜,热刺,32,左边锋,"23
(5)",2010,7,9,1,0,84.6,15,0.2,7.34
格里马尔多,勒沃库森,29,左后卫,"27
(1)",2351,2,6,3,1,86.4,9,0.4,7.34
德克兰·赖斯,阿森纳,26,中场,"30
(2)",2579,2,7,5,1,90,16,1,7.33
米特尔施泰特,斯图加特,28,左后卫,"24
(3)",2138,1,6,5,0,86.9,8,0.8,7.33
格里福,弗赖堡,32,左边锋,"27
(3)",2128,8,10,2,0,82.1,15,0.5,7.33
阿米里,美因茨,28,中场,26,2125,6,4,5,2,82.1,12,0.7,7.33
迪巴拉,罗马,31,影子前锋,"16
(8)",1421,6,3,2,0,86.9,8,0.3,7.33
格瓦迪奥尔,曼城,23,左后卫,"32
(1)",2919,5,0,2,0,92.1,1,1.4,7.32
叶海亚·福法纳,昂热,24,门将,30,2700,0,0,4,0,64.1,0,0.3,7.32
雷特古伊,亚特兰大,25,中锋,"27
(4)",1981,23,5,3,0,77.6,5,1.3,7.32
恩佐·费尔南德斯,切尔西,24,中场,"27
(4)",2501,5,6,7,0,84.1,9,0.4,7.32
拉比奥,马赛,30,中场,"23
(2)",2123,7,2,4,0,87.7,4,1,7.32
特伦特·阿诺德,利物浦,26,右后卫,"26
(3)",2176,3,6,5,0,78.3,13,0.1,7.31
莫德里奇,皇家马德里,39,中场,"14
(16)",1491,2,4,7,0,91.2,14,0.2,7.31
巴尔科拉,巴黎圣日耳曼,22,左边锋,"24
(6)",1945,13,10,2,0,83.5,17,0.4,7.31
詹姆斯·麦迪逊,热刺,28,前腰,"20
(10)",1772,9,6,6,0,86.6,7,0.2,7.31
菲尔·福登,曼城,24,右边锋,"19
(6)",1690,7,2,2,0,88.2,8,0.1,7.3
塔科夫斯基,埃弗顿,32,中后卫,33,2924,1,1,6,0,81.6,5,2.9,7.3
马库斯·图拉姆,国际米兰,27,中锋,"26
(5)",2209,14,4,1,0,74.5,4,1.4,7.3
萨瓦尼耶,蒙彼利埃,33,前腰,"26
(1)",2276,2,5,4,1,76.7,15,0.8,7.3
伊沃比,富勒姆,28,左边锋,"31
(2)",2652,9,5,1,0,79.6,12,0.2,7.29
路易斯·迪亚兹,利物浦,28,左边锋,"25
(7)",2161,11,5,2,0,86.2,8,0.4,7.29
科瓦契奇,曼城,30,中场,"22
(6)",1963,6,1,5,0,92.6,6,0.4,7.29
奥马尔·索莱,乌迪内斯,25,中后卫,14,1224,1,1,1,1,90.2,1,1.2,7.29
伊尼戈·马丁内斯,巴塞罗那,33,中后卫,26,2313,0,4,4,0,91.3,4,2.2,7.29
哈拉尔森,里尔,22,前腰,"17
(4)",1466,4,2,3,0,82.7,6,0.1,7.29
马修·瑞安,朗斯,33,门将,10,900,0,0,0,0,65.4,0,0.4,7.29
埃基蒂克,法兰克福,22,中锋,"27
(2)",2231,14,5,1,0,76.5,9,1.3,7.29
厄德高,阿森纳,26,前腰,"23
(3)",2047,2,6,4,0,87.2,11,0.3,7.29
哈兰德,曼城,24,中锋,28,2485,21,3,2,0,67.6,5,1.7,7.29
马格纳斯·阿克利乌舍,摩纳哥,23,右边锋,"24
(4)",2139,4,8,2,0,85,13,0.1,7.29
卢克曼,亚特兰大,27,影子前锋,"25
(2)",1963,13,5,4,0,78.9,10,0.6,7.29
